scheme_name,category,state,target_group,description,eligibility,benefits,application_process,documents_required
Kalaignar Magalir Urimai Scheme,Women and Child,Tamil Nadu,Women Tamil Nadu,Monthly financial assistance of Rs. 1000 for women from economically weak families in Tamil Nadu for financial independence launched by Tamil Nadu government,"Woman aged 21 years and above | Tamil Nadu resident | Annual family income below Rs. 2.5 lakh | Not government employee | Not income tax payer | Name in family card","Rs. 1000 per month direct bank transfer | Paid every month | Financial independence for women | Around 1.06 crore women enrolled","1. Visit kmut.tn.gov.in | 2. Register with Aadhaar and family card | 3. Fill online application | 4. Submit documents | 5. Verification done | 6. Monthly payment starts","Aadhaar card | Family card (ration card) | Bank passbook | Income certificate | Age proof | Mobile number"
Pudhumai Penn Scheme,Education,Tamil Nadu,Girl Students Tamil Nadu,Monthly Rs. 1000 scholarship for girl students who studied in government schools and are now in government colleges in Tamil Nadu to encourage higher education,"Girl student | Studied Class 6 to 12 in Tamil Nadu government school | Admitted to government college polytechnic in Tamil Nadu | Tamil Nadu resident","Rs. 1000 per month scholarship | From first year of college till completion | Total Rs. 36000 to Rs. 48000 | Direct bank transfer","1. Apply through college principal | 2. College submits eligible student list | 3. Verification of Class 6-12 government school study | 4. Scholarship approved | 5. Monthly amount credited","Aadhaar card | Class 6 to 12 government school certificates | College admission proof | Bank passbook | Income certificate | Passport photo"
Moovalur Ramamirtham Marriage Assistance,Women and Child,Tamil Nadu,Tamil Nadu Women,Marriage assistance of Rs. 50000 in cash gold and household items for women from poor families in Tamil Nadu,"Woman whose marriage is being performed | Father or guardian Tamil Nadu resident | Annual family income below Rs. 72000 | First marriage only | Bride above 18 groom above 21","Rs. 50000 total | Rs. 25000 cash | Rs. 15000 in gold (8 grams) | Rs. 10000 in household items | Directly to bride's bank account","1. Apply at District Social Welfare Office 3 months before marriage | 2. Fill application | 3. Submit documents | 4. Verification | 5. Assistance released before marriage","Aadhaar of bride and groom | Age proof | Income certificate | Community certificate | Ration card | Bank passbook of bride | Marriage invitation"
Tamil Nadu Cradle Baby Scheme,Women and Child,Tamil Nadu,Abandoned Girl Infants Tamil Nadu,Anonymous surrender scheme allowing parents to leave unwanted girl babies at designated cradles to prevent female infanticide in Tamil Nadu,"No eligibility criteria | Any family can leave girl baby anonymously | Cradles at government hospitals","Safe and anonymous surrender of girl baby | Baby provided medical care | Facilitated legal adoption | No questions asked | Prevents female infanticide","1. Place baby at designated cradle at government hospital | 2. No registration required | 3. Government takes care immediately | 4. Baby placed for adoption | 5. Completely anonymous","No documents required | Anonymous surrender accepted"
Sneha Deepam Scheme,Women and Child,Tamil Nadu,Destitute Women Tamil Nadu,Financial assistance and rehabilitation support for destitute women in Tamil Nadu who have no family support including widows and deserted women,"Destitute woman | Tamil Nadu resident | No income or family support | Widows deserted women unmarried mothers | Age above 18","Rs. 1000 per month financial assistance | Access to shelter homes | Vocational training | Legal aid | Counselling | Rehabilitation support","1. Apply at District Social Welfare Office | 2. Fill application with proof of destitution | 3. Social worker visits and verifies | 4. District welfare officer approves | 5. Monthly assistance starts","Aadhaar card | Proof of destitution | Income certificate nil | Residence proof | Bank passbook | Passport photo"
Tamil Nadu Chief Minister Comprehensive Health Insurance,Health,Tamil Nadu,Tamil Nadu Residents,Health insurance for Tamil Nadu residents below Rs. 1.2 lakh annual income with cashless treatment at 1000 plus hospitals covering Rs. 5 lakh per year,"Tamil Nadu resident | Annual family income below Rs. 1.2 lakh | Should have Kalaignar CM insurance card | Family is husband wife 3 dependent children","Rs. 5 lakh health coverage per family per year | Covers 1095 procedures | Cashless at government and empaneled private hospitals | Additional Rs. 15 lakh for critical illness","1. Visit nearest government hospital or CSC | 2. Fill application with income certificate | 3. Submit Aadhaar and ration card | 4. Smart health card issued | 5. Use at empaneled hospitals","Aadhaar card | Ration card | Income certificate below Rs. 1.2 lakh | Community certificate | Passport photo | Mobile number"
Nalam Kakkum Stalin Scheme,Health,Tamil Nadu,Tamil Nadu Residents,Large-scale free health initiative launched August 2025 by CM Stalin with 1250 plus health camps across Tamil Nadu for early disease detection,"Tamil Nadu resident | All citizens eligible | Special focus on rural and remote areas | Priority for elderly women children","Free health checkups | Free medicines | Specialist consultations | Early detection of diseases | 1250 plus camps across state","1. Visit nearest Nalam Kakkum Stalin health camp | 2. No registration required | 3. Show Aadhaar at camp | 4. Get free checkup | 5. Free medicines if needed","Aadhaar card | Health records if any"
Tamil Nadu Free Laptop Scheme 2025,Education,Tamil Nadu,College Students Tamil Nadu,Free laptop or tablet for students joining government arts science and polytechnic colleges with 20 lakh laptops to be distributed in 2025-26,"Student admitted to government arts science college or polytechnic in Tamil Nadu | Passed Class 10 or 12 from Tamil Nadu board | First year student","One free laptop or tablet per eligible student | Latest specifications | No income criteria | All government college students eligible | Distribution expected February-March 2026","1. Admission to government college sufficient | 2. College prepares eligible student list | 3. List sent to district | 4. Laptops distributed at college | 5. No separate application needed","Aadhaar card | College admission proof | Class 10/12 marksheet | Passport photo | Bank account details"
Tamil Nadu Free Tablet Scheme for School Students,Education,Tamil Nadu,School Students Tamil Nadu,Free tablet computers for government school students in Classes 6 to 8 to promote digital learning and bridge the digital divide,"Government school student | Studying in Class 6 7 or 8 | Tamil Nadu resident | Enrolled in Tamil Nadu government school","Free tablet with preloaded educational content | Internet connectivity | Educational apps | No income criteria","1. Enrollment in government school sufficient | 2. School headmaster prepares list | 3. Verified by education department | 4. Tablets distributed at school","School enrollment certificate | Aadhaar card | Parent consent form"
Chief Minister Breakfast Scheme,Food Security,Tamil Nadu,School Children Tamil Nadu,Free nutritious breakfast for government school students in Classes 1 to 5 before classes to improve nutrition and reduce hunger,"Students in Classes 1 to 5 in government schools | Tamil Nadu resident | All enrolled students eligible","Free breakfast every school day | Nutritious menu including rice idli pongal | Egg twice per week | Served before classes | Reduces hunger improves concentration","1. Enrollment in government school sufficient | 2. No separate application | 3. Breakfast served at school daily | 4. No cost to student or family","School enrollment proof | Aadhaar card of student"
Tamil Nadu Noon Meal Scheme,Food Security,Tamil Nadu,School Children Tamil Nadu,Free nutritious midday meal for Classes 1 to 10 in government schools to improve nutrition and encourage school attendance in Tamil Nadu,"Students in government and government-aided schools | Classes 1 to 10 | No income criteria | All enrolled students eligible","Free nutritious midday meal every school day | Rice vegetables protein | Egg twice per week | Meal prepared and served at school | Reduces absenteeism","1. Enrolled in government school automatically eligible | 2. No application required | 3. Meal served daily at school","Aadhaar card | School enrollment proof"
Tamil Nadu Illam Thedi Kalvi Scheme,Education,Tamil Nadu,Children Tamil Nadu,Home tuition programme reducing learning gap for Classes 1 to 8 through volunteer-based doorstep education in Tamil Nadu launched 2021,"Children studying Class 1 to 8 | Tamil Nadu resident | Enrolled in government or aided school | Students with learning gaps","Free home tuition by trained volunteers | Remedial education | After school hours | Covers Tamil English Maths Science | Learning gap improvement","1. School identifies students with learning gaps | 2. Volunteer contacts family | 3. Schedule set for home visits | 4. Free tutoring provided | 5. Progress monitored","Aadhaar card | School enrollment proof"
Tamil Nadu Unemployed Youth Monthly Allowance,Employment,Tamil Nadu,Unemployed Youth Tamil Nadu,Monthly unemployment allowance for educated unemployed youth registered with employment exchange for minimum 3 years in Tamil Nadu,"Tamil Nadu resident | Age 21 to 35 years | Minimum Class 8 qualification | Registered with District Employment Office for minimum 3 years | Family income below Rs. 75000 | Not employed","Rs. 1000 per month for graduates | Rs. 750 per month for diploma holders | Rs. 500 per month for others | Paid for maximum 3 years | Stops when employment found","1. Register at District Employment Office | 2. Renew registration every year | 3. After 3 years apply for allowance | 4. Submit income certificate | 5. Monthly payment to bank","Aadhaar card | Educational certificates | Employment exchange card | Income certificate | Bank passbook | Ration card | Residence proof"
CM Kakkum Karangal Scheme,Entrepreneurship,Tamil Nadu,Ex-Servicemen Tamil Nadu,Welfare scheme for ex-servicemen and families in Tamil Nadu to set up businesses with loan support subsidy and training launched August 2025 by CM Stalin,"Retired defence personnel | Tamil Nadu resident | Ex-servicemen and families | Valid discharge certificate | Planning to start enterprise","Loan support for business | Subsidy on loan | Priority in government tenders | Training and skill support | Business handholding","1. Visit Sainik Welfare Department Tamil Nadu | 2. Fill application | 3. Submit discharge certificate | 4. Business plan prepared | 5. Loan sanctioned by bank | 6. Subsidy credited","Discharge certificate | Aadhaar card | Bank passbook | Business plan | PAN card | Address proof | Passport photo"
Tamil Nadu Adi Dravidar Housing Scheme,Housing,Tamil Nadu,SC Communities Tamil Nadu,Free pucca house construction grant of Rs. 2.5 lakh for Scheduled Caste families in Tamil Nadu with free electricity water and toilet,"Scheduled Caste community member | Tamil Nadu resident | Annual income below Rs. 1 lakh | Not own pucca house | Have own land or government allotted land","Rs. 2.5 lakh grant for house construction | Paid in installments | Free toilet | Free electricity connection | Free water connection","1. Visit Adi Dravidar Welfare Department district office | 2. Fill application | 3. Submit documents | 4. Village Administrative Officer verifies | 5. District collector approves | 6. Amount released in installments","Aadhaar card | SC caste certificate | Income certificate | Land documents or patta | Bank passbook | Ration card | Passport photo"
Tamil Nadu Kalaignar Karunanidhi Housing Installment Scheme,Housing,Tamil Nadu,Low Income Families Tamil Nadu,Affordable housing for purchase of government constructed houses on easy monthly instalments for low income Tamil Nadu families,"Tamil Nadu resident | Annual family income below Rs. 3 lakh | First time home buyer | Age 21 to 55 | Not own property in Tamil Nadu","Affordable government houses | Easy monthly instalments 10-20 years | 1BHK 2BHK options | Developed layouts with infrastructure | All basic amenities","1. Apply at Tamil Nadu Housing Board district office | 2. Fill application with income proof | 3. Allotment by lottery | 4. Agreement signed | 5. Monthly instalment begins","Aadhaar card | Income certificate | Age proof | Bank passbook | Residence proof | Self-declaration of no property | Passport photo"
Tamil Nadu Old Age Pension,Pension,Tamil Nadu,Elderly Tamil Nadu,Monthly Rs. 1000 pension for elderly persons above 60 years in Tamil Nadu with no other income source paid directly to bank account,"Tamil Nadu resident | Age above 60 years | Annual income below Rs. 75000 | No other pension from any source | Registered voter in Tamil Nadu","Rs. 1000 per month pension | Paid directly to bank account | Widow pension Rs. 1000 per month | Destitute widow pension higher | Increased periodically","1. Apply at nearest government office or CSC | 2. Fill application | 3. Field verification | 4. Revenue divisional officer approves | 5. Pension starts monthly","Aadhaar card | Age proof | Income certificate | Bank passbook | Residence proof | Passport photo"
Tamil Nadu Disability Pension,Pension,Tamil Nadu,Disabled Persons Tamil Nadu,Monthly financial assistance Rs. 1000 to Rs. 1500 for persons with certified disabilities above 40% in Tamil Nadu,"Tamil Nadu resident | Minimum 40% disability certified by medical board | Annual income below Rs. 75000 | Not receiving other government disability pension | Age above 18","Rs. 1000 per month for 40-79% disability | Rs. 1500 per month for above 80% disability | Direct bank transfer","1. Apply at District Disability Rehabilitation Centre or CSC | 2. Get disability certificate from government hospital | 3. Submit application | 4. Revenue official verifies | 5. Pension sanctioned","Aadhaar card | Disability certificate from government hospital | Income certificate | Bank passbook | Residence proof | Passport photo"
Tamil Nadu Agricultural Laborers Welfare Scheme,Agriculture,Tamil Nadu,Agricultural Laborers Tamil Nadu,Social security welfare scheme for agricultural laborers in Tamil Nadu providing accident insurance death benefit and education scholarships for children,"Agricultural laborer registered with Tamil Nadu Agricultural Laborers Welfare Board | Tamil Nadu resident | Age 18 to 60","Accident insurance Rs. 1 lakh | Death benefit Rs. 25000 | Education scholarship for children up to Rs. 5000 | Marriage assistance Rs. 3000 | Medical assistance Rs. 5000","1. Register with Tamil Nadu Agricultural Laborers Welfare Board | 2. Submit work proof | 3. Pay nominal membership fee | 4. Board issues membership card | 5. Apply for benefits as needed","Aadhaar card | Proof of agricultural labor | Bank passbook | Passport photo | Caste certificate"
Tamil Nadu BC MBC Welfare Scholarship,Education,Tamil Nadu,BC MBC Students Tamil Nadu,Scholarship for Backward Class and Most Backward Class students in Tamil Nadu government colleges with fee reimbursement and maintenance allowance,"BC or MBC student in Tamil Nadu | Annual family income below Rs. 2.5 lakh | Studying in government or aided college | Tamil Nadu resident | Passed previous exam","Tuition fee reimbursement | Rs. 1000 per month maintenance allowance | Hostel allowance | Examination fee reimbursement | Annual book grant","1. Apply at college level | 2. College submits list to BC MBC Welfare Department | 3. District office verifies | 4. Scholarship sanctioned | 5. Amount credited to bank","Aadhaar card | Community certificate | Income certificate | Previous marksheet | Admission proof | Bank passbook"
Tamil Nadu SC Welfare Scholarship,Education,Tamil Nadu,SC Students Tamil Nadu,Comprehensive scholarship for Scheduled Caste students in Tamil Nadu from primary to higher education covering fees maintenance and hostel charges,"SC student in Tamil Nadu | Any income for pre-matric | Family income below threshold for post-matric | Government aided or recognized institution","Full tuition fee reimbursement | Maintenance allowance | Book grant | Hostel charges | Travel allowance","1. Apply online at scholarships.gov.in | 2. Also apply at Adi Dravidar Welfare Department | 3. College verifies | 4. District office approves | 5. Amount to bank","Aadhaar card | SC caste certificate | Income certificate | Marksheet | Admission proof | Bank passbook"
Tamil Nadu Adi Dravidar Welfare Scholarship,Education,Tamil Nadu,SC Students Tamil Nadu,Extended scholarship with coaching for competitive exams for Scheduled Caste students in Tamil Nadu at all education levels,"Scheduled Caste student in Tamil Nadu | Pre-matric income below Rs. 1 lakh | Post-matric income below Rs. 2.5 lakh | Enrolled in government aided or recognized institution","Full fee reimbursement | Maintenance allowance | Book grant | Hostel charges | Free coaching for competitive exams","1. Apply through college or school | 2. Apply online at scholarships.gov.in | 3. Adi Dravidar Welfare Department verifies | 4. Scholarship sanctioned | 5. Amount to bank","Aadhaar card | SC caste certificate | Income certificate | Marksheet | Admission proof | Bank passbook | Hostel certificate"
Tamil Nadu Chief Minister Fellowship Programme,Education,Tamil Nadu,Postgraduate Students Tamil Nadu,Monthly stipend of Rs. 65000 for talented Tamil Nadu students pursuing postgraduate studies in premier institutions like IITs IIMs NITs,"Tamil Nadu student | Pursuing PG or research | Admitted to premier institution IITs IIMs NITs central universities | Tamil Nadu resident | Merit based selection","Rs. 65000 per month stipend | For duration of PG or research | Career mentoring | Networking opportunities","1. Apply when announcement made at tn.gov.in | 2. Submit merit certificates | 3. Admission proof in premier institution | 4. Selection committee evaluates | 5. Stipend credited","Aadhaar card | Admission letter from premier institution | Marksheets | Tamil Nadu residence proof | Bank passbook"
Tamil Nadu TNPDS Smart Ration Card,Food Security,Tamil Nadu,Tamil Nadu Residents,Smart card based public distribution providing free rice and subsidized commodities to eligible Tamil Nadu families through biometric verification,"Tamil Nadu resident | Family income below threshold | Not government employee above Grade III | Not 4-wheeler owner | Not income tax payer","5 kg free rice per person per month | Sugar at subsidized rate | Kerosene | Smart card biometric verification | Mobile app for PDS services","1. Apply online at tnpds.gov.in | 2. Fill application with family details | 3. Revenue inspector visits | 4. Smart card issued within 30 days | 5. Collect from ration shop","Aadhaar card of all members | Income certificate | Residence proof | Surrender certificate if existing ration card | Passport photos"
MGNREGA Employment Guarantee,Employment,Central,Rural Workers,Legal guarantee of 100 days paid work per year for rural households with unemployment allowance if work not provided within 15 days,"Rural household | Adult member willing to do unskilled manual work | No income criteria | All rural households eligible | Priority to SC ST women","100 days guaranteed wage employment per year | Rs. 261 per day (central rate) | Work within 15 days of application | Unemployment allowance if work not provided | Rural infrastructure works","1. Get job card from Gram Panchayat | 2. Submit written application for work | 3. Work provided within 15 days | 4. Wages paid within 15 days | 5. Work sites within 5 km","Aadhaar card | Job card from Gram Panchayat | Bank passbook | Passport photo"
National Rural Livelihood Mission Aajeevika,Livelihood,Central,Rural Women,Poverty reduction organizing rural poor women into Self Help Groups with revolving fund bank linkage and skill training for livelihood improvement,"Rural woman | Below poverty line preferred | Age 18 to 60 | Should join or form SHG of 10-15 members | Willingness to save and attend meetings","Revolving fund Rs. 15000 per SHG | Community Investment Fund | Bank linkage for loans at 7% interest | Skill training | Rs. 1500 per month for trained members","1. Form SHG of 10-15 rural women | 2. Register at Block Mission Management Unit | 3. Open SHG bank account | 4. Maintain meetings and savings | 5. Apply for revolving fund | 6. Bank linkage after 6 months","Aadhaar of all members | SHG registration certificate | Bank account of SHG | BPL cards | Group meeting register"
Deendayal Antyodaya Yojana Urban Livelihood Mission,Livelihood,Central,Urban Poor,Urban poverty reduction through SHG formation skill training credit access and shelter for urban poor street vendors and homeless persons,"Urban poor | BPL households | Pavement dwellers homeless | Street vendors | Construction workers | Urban slum residents","SHG formation and credit linkage | Skill training Rs. 5000 per trainee | Credit linked subsidy | Shelter for homeless | Rs. 10000 SHG revolving fund","1. Contact Urban Local Body or NGO partner | 2. Form or join SHG | 3. Register with ULB | 4. Apply for skill training or credit | 5. Support provided","Aadhaar card | Residence proof | Bank passbook | Income certificate | Passport photo"
E Shram Portal for Unorganized Workers,Employment,Central,Unorganized Workers,National database for unorganized sector workers providing e-Shram card with UAN and Rs. 2 lakh accident insurance plus access to all government schemes,"Unorganized sector worker | Age 16 to 59 years | Not member of EPFO or ESIC | Working in agriculture construction domestic work street vending","E Shram card (UAN) | Rs. 2 lakh accident insurance | Access to all government schemes | Priority in PM-JAY | Identity for unorganized workers","1. Visit eshram.gov.in | 2. Register with Aadhaar linked mobile | 3. Fill occupation details | 4. E Shram card issued instantly | 5. UAN number generated","Aadhaar card with linked mobile | Bank account details | Occupation details"
National Apprenticeship Promotion Scheme,Employment,Central,Youth,Apprenticeship training with government paying 25% of stipend in industries with on-the-job training and formal certification,"Youth who completed Class 5 and above | Age 14 to 21 (up to 30 for some categories) | Enrolled through NAPS portal | ITI pass graduates diploma holders","Stipend support 25% paid by government | Basic training cost reimbursed | On-the-job training | Certificate after completion | Employment probability high","1. Visit apprenticeshipindia.org | 2. Register as apprentice | 3. Select establishment and trade | 4. Attend basic training | 5. On-the-job training | 6. Certificate after completion","Aadhaar card | Educational certificates | ITI certificate if applicable | Passport photo | Bank account"
PM Rozgar Protsahan Yojana,Employment,Central,New Employees and Employers,Government pays employer EPF contribution for new employees with salary below Rs. 15000 to incentivize formal employment generation,"New employee with salary below Rs. 15000 per month | New to EPFO | Employer registered with EPFO | Employee joined after April 2016","Government pays 8.33% employer EPF contribution for 3 years | Reduces employment cost for employer | Benefits 1.21 crore workers","1. Employer registers employee on EPFO portal | 2. Employee UAN generated | 3. Government automatically pays contribution | 4. No separate application by employee | 5. Benefits automatic","Aadhaar card linked to UAN | Bank account | PAN card"
Jal Jeevan Mission Rural,Water,Central,Rural Households,Scheme to provide safe piped drinking water functional tap connection to every rural household extended to 2028 covering 15 crore households,"Rural household | No existing functional tap water connection | Applied through gram panchayat | Priority to SC ST and poor households","Functional household tap connection | Safe drinking water 55 liters per person per day | Free connection for BPL households | Water quality testing","1. Gram Panchayat prepares village action plan | 2. Beneficiary list prepared | 3. Pipes laid | 4. Connection provided | 5. No individual application needed","Aadhaar card | Ration card | Land/house proof"
National Food Security Act,Food Security,Central,Poor Families,Legal right to subsidized food grains under NFSA covering 81 crore people with 5 kg grain per month at very low prices,"Priority Household beneficiary | Antyodaya Anna Yojana beneficiary | Listed in state NFSA list | Around 67% of population covered","5 kg grain per person per month at Rs. 2 per kg rice Rs. 1 per kg wheat | Free under PMGKAY | Antyodaya gets 35 kg per family","1. Already covered if name in NFSA list | 2. Apply at ration office with documents | 3. Field verification | 4. Ration card issued | 5. Collect from ration shop","Aadhaar card | Income certificate | Residence proof | Passport photos"
Digital India Scheme,Digital,Central,Citizens and Businesses,Umbrella scheme to transform India into digitally empowered knowledge economy with DigiLocker UMANG BHIM UPI and e-services from government,"All Indian citizens | Businesses | Government departments | No income criteria | All age groups eligible","Digital identity for all | High speed internet | Mobile governance | Digital payment infrastructure | E-services from government | Digital literacy","1. Access any digital government service | 2. Use DigiLocker for documents | 3. Use UMANG app for all government services | 4. Use BHIM UPI for payments | 5. Register on National Career Service Portal","Aadhaar card | Mobile number | Bank account for UPI"
PM Swamitva Scheme,Property Rights,Central,Rural Households,Scheme mapping rural habitation areas using drones to give property rights and legal ownership cards to rural households for first time,"Rural household | House in revenue village | Property in habitation area | Applied through gram panchayat | All states covered in phases","Legal property card for house | Proof of ownership for first time | Can use as collateral for bank loans | Reduces property disputes | Access to institutional credit","1. Drone mapping done by Survey of India | 2. Draft property card prepared | 3. Village residents verify boundary | 4. Final property card issued | 5. Property card delivered","Aadhaar card | Existing residence proof | Gram panchayat registration"
PM Garib Kalyan Rojgar Abhiyaan,Employment,Central,Migrant Workers,Employment scheme for migrant workers who returned to villages providing immediate work through MGNREGA and other works,"Migrant worker returned to village | Rural resident | Enrolled in MGNREGA job card | Willing to work","125 days of work | Multiple works like road construction water conservation tree plantation | MGNREGA wages | Focus on districts with high returnee migrants","1. Enroll in MGNREGA job card at Gram Panchayat | 2. Apply for work | 3. Work allocated within 5 km | 4. Payment to bank account","Job card | Aadhaar card | Bank passbook"
PM TB Mukt Bharat Abhiyaan,Health,Central,TB Patients,Programme to eliminate tuberculosis from India by 2025 providing free diagnosis treatment and Rs. 500 per month nutritional support to all TB patients,"Any person suspected or confirmed to have tuberculosis | All age groups | No income criteria | All citizens eligible","Free TB diagnosis | Free medicines for complete 6 month course | Rs. 500 per month nutritional support | Mobile based treatment support | Counselling","1. Visit nearest government health facility with symptoms | 2. Free sputum test | 3. If confirmed medicines free | 4. Register on Nikshay portal | 5. Rs. 500 per month nutrition support starts","Aadhaar card | Mobile number for Nikshay | Bank account for nutrition support"
Integrated Child Development Scheme ICDS,Women and Child,Central,Children Under 6 and Mothers,Comprehensive early childhood care nutrition health and preschool education for children under 6 pregnant women and lactating mothers through Anganwadi centres,"Children aged 0 to 6 years | Pregnant women | Lactating mothers | Adolescent girls | Residing in Anganwadi service area","Supplementary nutrition | Immunization | Health checkup | Referral services | Preschool education | Nutrition and health education | Iron folate supplements","1. Visit nearest Anganwadi Centre | 2. Register with Anganwadi worker | 3. No formal application | 4. Services provided at centre | 5. Home visits by worker","Aadhaar card of mother | Birth certificate of child | MCH card | Residence proof"
Anganwadi Services,Women and Child,Central,Children and Mothers,Early childhood care and development services at Anganwadi centres across India covering nutrition health preschool education and immunization,"Children 0 to 6 years | Pregnant lactating women | Adolescent girls | No income criteria | All families in Anganwadi catchment area","Supplementary nutrition 600 calories per day for children | Immunization under NHM | Growth monitoring | Preschool education | Health checkup | Nutrition counselling","1. Visit nearest Anganwadi Centre | 2. No registration needed | 3. Services available to all eligible in area | 4. Anganwadi worker visits homes for outreach","Aadhaar card | Birth certificate of child | MCH card"
Tamil Nadu Unorganized Workers Social Security Scheme,Social Security,Tamil Nadu,Unorganized Workers Tamil Nadu,Social security for unorganized sector workers in Tamil Nadu registered with welfare board providing accident insurance death benefit and education support,"Unorganized sector worker in Tamil Nadu | Registered with Tamil Nadu Unorganized Workers Welfare Board | Age 18 to 60 | Tamil Nadu resident | Paying nominal contribution","Accident insurance Rs. 1 lakh | Death benefit Rs. 25000 | Education scholarship for 2 children Rs. 5000 per year | Marriage assistance Rs. 3000 | Medical assistance Rs. 5000","1. Register with Tamil Nadu Unorganized Workers Welfare Board | 2. Submit occupation proof | 3. Pay Rs. 100 annual contribution | 4. Board issues membership card | 5. Apply for benefits as needed","Aadhaar card | Occupation proof | Bank passbook | Passport photo | Nomination form | Residence proof"
Tamil Nadu Weavers Welfare Scheme,Livelihood,Tamil Nadu,Weavers Tamil Nadu,Welfare scheme for handloom weavers in Tamil Nadu providing accident insurance health coverage marketing support and Rs. 2000 annual ex-gratia,"Registered handloom weaver in Tamil Nadu | Engaged in handloom weaving | Member of weavers cooperative society preferred","Accident insurance Rs. 2 lakh | Health insurance | Thrift fund | Marketing support through Co-optex | Skill upgradation | Tool kit assistance | Rs. 2000 annual ex-gratia","1. Register with Handloom Weavers Cooperative Society | 2. Enroll with Tamil Nadu Handloom Development Corporation | 3. Apply for benefits | 4. District textile office verifies | 5. Benefits sanctioned","Aadhaar card | Weaver identity card | Bank passbook | Cooperative membership | Passport photo"
Tamil Nadu Chief Minister Solar Green House Scheme,Housing,Tamil Nadu,Fishermen Tamil Nadu,Free solar-powered pucca housing for fishermen communities in Tamil Nadu coastal areas with toilet water connection and solar electricity,"Fishermen family in Tamil Nadu | Living in coastal area | Homeless or kutcha house | Registered in fishing cooperative","Free pucca house in coastal area | Solar panel for electricity | Toilet | Water connection | Community hall | House in woman's name","1. Fisheries Department prepares beneficiary list | 2. Cooperative membership verified | 3. No individual application | 4. Houses constructed by government | 5. Keys handed to beneficiary","Aadhaar card | Fisherman identity card | Fishing cooperative membership | Bank passbook"
National Bamboo Mission,Agriculture,Central,Farmers Forest Communities,Scheme to develop bamboo as alternate crop for farmers and forest communities with Rs. 120 per plant subsidy and market linkage support,"Farmer with suitable land | Forest dwelling communities | Bamboo growers | Applied through state agriculture or forest department","Subsidy for bamboo plantation | Material support | Rs. 120 per plant subsidy | Market linkage | Processing unit support | Training","1. Apply at district agriculture or forest department | 2. Land suitability checked | 3. Subsidy sanctioned | 4. Planting material provided | 5. Maintenance support 3 years","Aadhaar card | Land records | Bank passbook | Passport photo"
National Livestock Mission,Agriculture,Central,Livestock Farmers,Scheme promoting cattle goat poultry piggery and fisheries for rural income with subsidy on livestock purchase shed construction and insurance,"Farmers engaged in livestock rearing | Individual or group | SC ST women preferred for higher subsidy | Applied through state animal husbandry department","Subsidy 25-50% on livestock purchase | Shed construction support | Feed support | Veterinary services | Insurance for animals | Training | Breed improvement","1. Apply at District Animal Husbandry Department | 2. Fill application with livestock details | 3. Verification | 4. Subsidy sanctioned | 5. Animal purchase and subsidy credit","Aadhaar card | Land or livestock rearing proof | Bank passbook | Caste certificate | Passport photo"
Pradhan Mantri Gramin Digital Saksharta Abhiyaan,Digital Literacy,Central,Rural Households,Free 200-hour digital literacy training for rural households to make one member digitally literate covering computer internet and digital payments,"One non-literate member from each rural household | Priority to SC ST women | BPL households | Age 14 to 60 | Should not already be digitally literate","Free digital literacy training | Certificate on completion | Training in computer internet UPI digital payments | 3 months course | Employment opportunity after certification","1. Visit nearest CSC or training centre | 2. Register with Aadhaar | 3. Attend training sessions | 4. Clear assessment | 5. Certificate issued","Aadhaar card | Bank passbook | Passport photo | Mobile number"
Rashtriya Krishi Vikas Yojana,Agriculture,Central,Farmers,Scheme incentivizing states to increase public investment in agriculture for 4% annual growth including seeds irrigation mechanization and post-harvest management,"Farmers through state governments | Agriculture research institutions | Farmer cooperatives","Funding for agriculture infrastructure | Seed banks | Irrigation | Soil health management | Agricultural mechanization | Post-harvest management","1. State agriculture department applies for funding | 2. Project proposal submitted | 3. Ministry approves | 4. Funds released | 5. State implements with farmers","Applied by state government on behalf of farmers"
PM Annadata Aay Sanrakshan Abhiyan PM-AASHA,Agriculture,Central,Farmers,Umbrella scheme ensuring remunerative prices for farmers through MSP procurement price deficiency payment and private procurement support,"Farmer growing notified crops | Registered with state government | Willing to sell to government procurement agency","MSP assured for 22 crops | Price deficiency payment if market below MSP | Private procurement at MSP with government guarantee","1. Register with state agriculture department | 2. Enroll with nearest procurement agency | 3. Bring crop to procurement centre | 4. Crop weighed and MSP paid | 5. Payment in 3 days","Aadhaar card | Land records | Bank passbook | Mobile number | Crop insurance details"
Tamil Nadu Chief Minister Innuyir Kaakkum Scheme,Health,Tamil Nadu,Tamil Nadu Poor Residents,Free life-saving treatment up to Rs. 25 lakh for Tamil Nadu residents facing critical illnesses where treatment cost exceeds family capacity,"Tamil Nadu resident | Critical illness requiring expensive treatment | Annual family income below threshold | Referred by government hospital","Treatment cost covered beyond insurance limit | Up to Rs. 25 lakh | Covers heart surgery cancer organ transplant neurological surgery | Cashless at empaneled hospitals","1. Patient at government hospital | 2. Doctor certifies critical condition | 3. Hospital applies to district collector | 4. Emergency fund sanctioned | 5. Treatment arranged","Aadhaar card | Income certificate | Medical records | Doctor's referral | Bank passbook | Ration card"
